Pos,University,Conference,Sport,Season,Home_Games,Total_Attendance,Average_Attendance
1,Alabama,SEC,Mens Basketball,2020-21,15,63750,4250
5,Alabama,SEC,Womens Basketball,2020-21,15,22500,1500
9,Alabama,SEC,Softball,2020-21,28,28000,1000
13,Alabama,SEC,Womens Volleyball,2020-21,13,13650,1050
17,Clemson,ACC,Mens Basketball,2020-21,15,45000,3000
21,Clemson,ACC,Womens Basketball,2020-21,14,19600,1400
25,Clemson,ACC,Softball,2020-21,20,16000,800
29,Clemson,ACC,Womens Volleyball,2020-21,13,16250,1250
33,Duke,ACC,Mens Basketball,2020-21,15,45000,3000
37,Duke,ACC,Womens Basketball,2020-21,14,19600,1400
41,Duke,ACC,Softball,2020-21,20,16000,800
45,Duke,ACC,Womens Volleyball,2020-21,13,16250,1250
49,Florida,SEC,Mens Basketball,2020-21,15,63750,4250
53,Florida,SEC,Womens Basketball,2020-21,15,24000,1600
57,Florida,SEC,Softball,2020-21,28,30800,1100
61,Florida,SEC,Womens Volleyball,2020-21,13,14300,1100
65,Georgia,SEC,Mens Basketball,2020-21,15,60000,4000
69,Georgia,SEC,Womens Basketball,2020-21,14,21000,1500
73,Georgia,SEC,Softball,2020-21,27,29700,1100
77,Georgia,SEC,Womens Volleyball,2020-21,14,14700,1050
81,Indiana,Big Ten,Mens Basketball,2020-21,15,60000,4000
85,Indiana,Big Ten,Womens Basketball,2020-21,15,27000,1800
89,Indiana,Big Ten,Softball,2020-21,21,18900,900
93,Indiana,Big Ten,Womens Volleyball,2020-21,13,33800,2600
97,Kansas,Big 12,Mens Basketball,2020-21,15,30000,2000
101,Kansas,Big 12,Womens Basketball,2020-21,14,19600,1400
105,Kansas,Big 12,Softball,2020-21,22,19800,900
109,Kansas,Big 12,Womens Volleyball,2020-21,13,15600,1200
113,Kentucky,SEC,Mens Basketball,2020-21,15,63750,4250
117,Kentucky,SEC,Womens Basketball,2020-21,16,25600,1600
121,Kentucky,SEC,Softball,2020-21,26,28600,1100
125,Kentucky,SEC,Womens Volleyball,2020-21,13,14300,1100
129,LSU,SEC,Mens Basketball,2020-21,16,68000,4250
133,LSU,SEC,Womens Basketball,2020-21,14,22400,1600
137,LSU,SEC,Softball,2020-21,27,29700,1100
141,LSU,SEC,Womens Volleyball,2020-21,14,15400,1100
145,Michigan,Big Ten,Mens Basketball,2020-21,15,60000,4000
149,Michigan,Big Ten,Womens Basketball,2020-21,14,25200,1800
153,Michigan,Big Ten,Softball,2020-21,22,19800,900
157,Michigan,Big Ten,Womens Volleyball,2020-21,13,33800,2600
161,North Carolina,ACC,Mens Basketball,2020-21,15,45000,3000
165,North Carolina,ACC,Womens Basketball,2020-21,15,21000,1400
169,North Carolina,ACC,Softball,2020-21,21,16800,800
173,North Carolina,ACC,Womens Volleyball,2020-21,14,17500,1250
177,Ohio State,Big Ten,Mens Basketball,2020-21,15,60000,4000
181,Ohio State,Big Ten,Womens Basketball,2020-21,15,27000,1800
185,Ohio State,Big Ten,Softball,2020-21,21,18900,900
189,Ohio State,Big Ten,Womens Volleyball,2020-21,13,33800,2600
193,Oklahoma,Big 12,Mens Basketball,2020-21,15,30000,2000
197,Oklahoma,Big 12,Womens Basketball,2020-21,14,19600,1400
201,Oklahoma,Big 12,Softball,2020-21,24,21600,900
205,Oklahoma,Big 12,Womens Volleyball,2020-21,13,15600,1200
209,Penn State,Big Ten,Mens Basketball,2020-21,15,60000,4000
213,Penn State,Big Ten,Womens Basketball,2020-21,14,25200,1800
217,Penn State,Big Ten,Softball,2020-21,20,18000,900
221,Penn State,Big Ten,Womens Volleyball,2020-21,14,39200,2800
225,Texas,Big 12,Mens Basketball,2020-21,15,30000,2000
229,Texas,Big 12,Womens Basketball,2020-21,15,21000,1400
233,Texas,Big 12,Softball,2020-21,25,22500,900
237,Texas,Big 12,Womens Volleyball,2020-21,14,16800,1200
241,Wisconsin,Big Ten,Mens Basketball,2020-21,15,60000,4000
245,Wisconsin,Big Ten,Womens Basketball,2020-21,14,25200,1800
249,Wisconsin,Big Ten,Softball,2020-21,20,18000,900
253,Wisconsin,Big Ten,Womens Volleyball,2020-21,14,39200,2800
2,Alabama,SEC,Mens Basketball,2021-22,17,230860,13580
6,Alabama,SEC,Womens Basketball,2021-22,16,84800,5300
10,Alabama,SEC,Softball,2021-22,27,56700,2100
14,Alabama,SEC,Womens Volleyball,2021-22,14,22400,1600
18,Clemson,ACC,Mens Basketball,2021-22,16,160000,10000
22,Clemson,ACC,Womens Basketball,2021-22,15,70500,4700
26,Clemson,ACC,Softball,2021-22,21,39900,1900
30,Clemson,ACC,Womens Volleyball,2021-22,14,35000,2500
34,Duke,ACC,Mens Basketball,2021-22,17,153000,9000
38,Duke,ACC,Womens Basketball,2021-22,15,73500,4900
42,Duke,ACC,Softball,2021-22,21,39900,1900
46,Duke,ACC,Womens Volleyball,2021-22,14,35000,2500
50,Florida,SEC,Mens Basketball,2021-22,16,216000,13500
54,Florida,SEC,Womens Basketball,2021-22,14,73500,5250
58,Florida,SEC,Softball,2021-22,30,69000,2300
62,Florida,SEC,Womens Volleyball,2021-22,15,26250,1750
66,Georgia,SEC,Mens Basketball,2021-22,16,208000,13000
70,Georgia,SEC,Womens Basketball,2021-22,16,80000,5000
74,Georgia,SEC,Softball,2021-22,29,63800,2200
78,Georgia,SEC,Womens Volleyball,2021-22,15,24750,1650
82,Indiana,Big Ten,Mens Basketball,2021-22,17,246500,14500
86,Indiana,Big Ten,Womens Basketball,2021-22,16,88000,5500
90,Indiana,Big Ten,Softball,2021-22,22,48400,2200
94,Indiana,Big Ten,Womens Volleyball,2021-22,14,43400,3100
98,Kansas,Big 12,Mens Basketball,2021-22,17,272000,16000
102,Kansas,Big 12,Womens Basketball,2021-22,15,67500,4500
106,Kansas,Big 12,Softball,2021-22,23,53590,2330
110,Kansas,Big 12,Womens Volleyball,2021-22,14,35000,2500
114,Kentucky,SEC,Mens Basketball,2021-22,18,261000,14500
118,Kentucky,SEC,Womens Basketball,2021-22,17,93500,5500
122,Kentucky,SEC,Softball,2021-22,28,64400,2300
126,Kentucky,SEC,Womens Volleyball,2021-22,15,27000,1800
130,LSU,SEC,Mens Basketball,2021-22,17,229500,13500
134,LSU,SEC,Womens Basketball,2021-22,15,81000,5400
138,LSU,SEC,Softball,2021-22,29,66700,2300
142,LSU,SEC,Womens Volleyball,2021-22,15,25500,1700
146,Michigan,Big Ten,Mens Basketball,2021-22,17,246500,14500
150,Michigan,Big Ten,Womens Basketball,2021-22,16,88000,5500
154,Michigan,Big Ten,Softball,2021-22,23,50600,2200
158,Michigan,Big Ten,Womens Volleyball,2021-22,14,43400,3100
162,North Carolina,ACC,Mens Basketball,2021-22,16,184000,11500
166,North Carolina,ACC,Womens Basketball,2021-22,16,76800,4800
170,North Carolina,ACC,Softball,2021-22,22,41800,1900
174,North Carolina,ACC,Womens Volleyball,2021-22,15,37500,2500
178,Ohio State,Big Ten,Mens Basketball,2021-22,16,232000,14500
182,Ohio State,Big Ten,Womens Basketball,2021-22,16,88000,5500
186,Ohio State,Big Ten,Softball,2021-22,22,48400,2200
190,Ohio State,Big Ten,Womens Volleyball,2021-22,15,48000,3200
194,Oklahoma,Big 12,Mens Basketball,2021-22,16,208000,13000
198,Oklahoma,Big 12,Womens Basketball,2021-22,15,70500,4700
202,Oklahoma,Big 12,Softball,2021-22,25,62500,2500
206,Oklahoma,Big 12,Womens Volleyball,2021-22,14,35000,2500
210,Penn State,Big Ten,Mens Basketball,2021-22,16,224000,14000
214,Penn State,Big Ten,Womens Basketball,2021-22,15,82500,5500
218,Penn State,Big Ten,Softball,2021-22,21,46200,2200
222,Penn State,Big Ten,Womens Volleyball,2021-22,15,51000,3400
226,Texas,Big 12,Mens Basketball,2021-22,16,224000,14000
230,Texas,Big 12,Womens Basketball,2021-22,16,76800,4800
234,Texas,Big 12,Softball,2021-22,26,62400,2400
238,Texas,Big 12,Womens Volleyball,2021-22,15,42000,2800
242,Wisconsin,Big Ten,Mens Basketball,2021-22,16,232000,14500
246,Wisconsin,Big Ten,Womens Basketball,2021-22,15,82500,5500
250,Wisconsin,Big Ten,Softball,2021-22,21,46200,2200
